,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
961,Ptron,Ptron bassbuds air,Pearl black,Wireless,3.7,6799,50+ ,799,2599,69,least bought
962,Acwo,Acwo dwots 747,Raisin black,Wireless,3.6,62,50+ ,1699,6999,76,least bought
963,Belkin,Belkin soundform rhythm true,Black,Wireless,4.6,170,50+ ,2499,4999,50,least bought
964,Sony,Sony wf-c500,Black,Wireless,3.9,2904,50+ ,4490,8990,50,least bought
965,Vibez,Vibez by lifelong,Vbne,Wireless,3.4,26,50+ ,1099,5500,80,least bought
966,Hammer,Hammer nova,Green,Wired,3.2,350,50+ ,299,999,70,least bought
967,Cosmic,Cosmic byte cosmobuds x50 true,Tws,Wireless,3.8,1017,50+ ,810,2999,73,least bought
968,Sony,Sony wf-c500,Black,Wireless,4.0,478,50+ ,4388,8990,51,least bought
969,Redwind,Redwind earbud caps for,Black,Wireless,3.6,131,50+ ,169,499,66,least bought
970,Number,Number super buds pro gt9,Army green,Wireless,3.1,38,50+ ,1099,3999,73,least bought
971,Sound,Sound boss boom beatz,Black,Wireless,5.0,2,50+ ,460,1999,77,least bought
972,Dudao,Dudao x3c,Black,Wired,2.7,42,50+ ,359,1490,76,least bought
973,Noise,Noise newly launched buds xero,Upto,Wireless,3.6,303,50+ ,3999,6999,43,least bought
974,Tangzu,Tangzu wan’er s.g,Black,Wired,4.0,47,50+ ,2374,3699,36,least bought
975,Skullcandy,Skullcandy jib in-ear,Black,Wired,3.9,1523,50+ ,833,1999,58,least bought
976,Boat,Boat immortal katana blade 2.0,Gray,Wireless,2.4,191,50+ ,2349,4999,53,least bought
977,Invicto,Invicto newly launched t9,Active blue,Wireless,3.2,27,50+ ,378,699,46,least bought
978,Noise,Noise newly launched buds connect 2,Mint green,Wireless,3.8,308,50+ ,1299,3999,68,least bought
979,Hoppup,Hoppup airdoze fusion,Black,Wireless,3.6,414,50+ ,599,4999,88,least bought
980,Wireless,Wireless,Black,Wireless,3.0,2,50+ ,399,999,60,least bought
981,Ptron,Ptron bassbuds razer,Blue,Wireless,3.6,215,50+ ,799,2599,69,least bought
982,Syvo,Syvo s40,Black,Wireless,4.4,186,50+ ,799,3999,80,least bought
983,Baot,Baot neckband with 48 hours playback deep bass with magnetic buds,Black,Wireless,1.9,4,50+ ,599,1999,70,least bought
984,Truke,Truke new launch buds echo true,Orange,Wireless,4.3,216,50+ ,1299,3999,68,least bought
985,Hoppup,Hoppup airdoze s40,Wine,Wireless,3.1,6,50+ ,599,3999,85,least bought
986,Crossbeats,Crossbeats slide,Black,Wireless,3.8,284,50+ ,1090,5999,82,least bought
987,Skullcandy,Skullcandy jib,Black,Wired,4.0,1183,50+ ,823,1999,59,least bought
988,Type,Type-c,Tvi,Wired,5.0,1,50+ ,499,999,50,least bought
989,Concept,Concept kart kz zst x,Zstx with,Wired,4.2,371,50+ ,2042,2399,15,least bought
990,Careflection,Careflection 6-in-1 multi combo spiral cable protectors +,Black,Wireless,3.9,508,50+ ,339,999,66,least bought
991,Ifast,Ifast digital display,Black,Wireless,3.8,8,50+ ,2199,4499,51,least bought
992,Nd,Nd venus,Type,Wired,3.6,50,50+ ,1092,1499,27,least bought
993,Boat,"Boat airdopes 800 hidef, hi-res audio ldac, 4mic enx, app support, asap charge, ipx5, low latency, dual pairing, btv5.3,",Sterling silver,Wireless,4.0,3927,50+ ,2299,7490,69,least bought
994,Boat,"Boat airdopes 800 hidef, hi-res audio ldac, 4mic enx, app support, asap charge, ipx5, low latency, dual pairing, btv5.3,",Emerald green,Wireless,4.0,3927,50+ ,2299,7490,69,least bought
995,Ptron,Ptron basspods p681,Pearl black,Wireless,3.4,7207,50+ ,699,3199,78,least bought
996,Skullcandy,Skullcandy rail anc,Black,Wireless,4.0,2109,50+ ,7999,29999,73,least bought
997,Probuds,Probuds n32,With mic,Wireless,4.2,1576,50+ ,1099,2999,63,least bought
998,Earphones,Earphones bt r20 for realme pad 2 earphone original like,Vr,Wired,1.0,2,50+ ,349,999,65,least bought
999,Evm,Evm enbuds pro,Evm,Wireless,3.5,10,50+ ,620,3499,82,least bought
1000,Type,Type-c earphone for sony xperia 10 iii,Black,Wired,1.6,5,50+ ,430,799,46,least bought
1001,Honeywell,Honeywell moxie v50,Black,Wired,3.6,627,50+ ,398,899,56,least bought
1002,Itel,"Itel buds ace anc, anc (~25db), 50hrs playtime, ai enc, 10mm drivers, fast charging, ipx5, v5.3",Cranberry,Wireless,4.1,70,50+ ,1399,3999,65,least bought
1003,Ooge,Ooge tune 26,Black,Wireless,2.0,1,50+ ,499,1999,75,least bought
1004,Number,"Number navo buds x1 w/ 50h playtime, dual pairing, 13mm speakers, enc, 45ms low latency",White sky,Wireless,3.1,14,50+ ,699,3999,83,least bought
1005,Hyperx,Hyperx cloud,Black,Wired,4.1,1288,50+ ,3988,5187,23,least bought
1006,Mivi,Mivi superpods concerto [flagship launch] dolby audio,Black,Wireless,2.9,108,50+ ,2999,6999,57,least bought
1007,Skullcandy,Skullcandy jib,Black,Wired,3.8,6814,50+ ,637,999,36,least bought
1008,Vehop,Vehop ows,Black,Wireless,3.5,10,50+ ,1236,4999,75,least bought
1009,Oppo,Oppo enco air3 pro true,White,Wireless,4.2,998,50+ ,5500,7500,27,least bought
1010,Fastrack,Fastrack fpods fx101|bt5.4,Black,Wireless,3.6,3432,50+ ,1172,3495,66,least bought
1011,Jbl,Jbl new launch tune buds 2,White,Wireless,4.0,580,50+ ,5499,7999,31,least bought
1012,Leaf,Leaf rush x342,Bass,Wireless,3.7,346,50+ ,699,1999,65,least bought
1013,Earphones,Earphones for samsung galaxy a83 / a 83,Ys,Wired,3.9,7,50+ ,399,999,60,least bought
1014,Concept,Concept kart kz zst x,Black,Wired,4.2,371,50+ ,2042,2599,21,least bought
1015,Vehop,Vehop opengo ows open ear,Black,Wireless,4.2,8,50+ ,959,4999,81,least bought
1016,Namnkit,Namnkit® air pods 2,White,Wireless,3.0,1,50+ ,389,999,61,least bought
1017,Number,Number super buds 999 anc,Steel red,Wireless,3.9,31,50+ ,999,7999,88,least bought
1018,Honeywell,Honeywell moxie v50,Black,Wired,3.6,627,50+ ,399,899,56,least bought
